Survived,Sex,Age,Parch,Fare,Embarked_S,Embarked_C,Embarked_Q,First Class,Second Class,Third Class
0,0,0,0.271173662,0,0.014151058,1,0,0,0,0
1,1,1,0.472229203,0,0.139135735,0,1,0,1,0
2,1,1,0.321437547,0,0.01546857,1,0,0,0,0
3,1,1,0.434531289,0,0.103644298,1,0,0,1,0
4,0,0,0.434531289,0,0.015712554,1,0,0,0,0
6,0,0,0.673284745,0,0.101228858,1,0,0,1,0
7,0,0,0.019854235,0.166666667,0.04113566,1,0,0,0,0
8,1,1,0.334003519,0.333333333,0.021730754,1,0,0,0,0
9,1,1,0.170645891,0,0.058694293,0,1,0,0,1
10,1,1,0.044986177,0.166666667,0.032596229,1,0,0,0,0
11,1,1,0.72354863,0,0.051822149,1,0,0,1,0
12,0,0,0.246041719,0,0.015712554,1,0,0,0,0
13,0,0,0.484795175,0.833333333,0.061044735,1,0,0,0,0
14,0,1,0.170645891,0,0.015330377,1,0,0,0,0
15,1,1,0.685850716,0,0.03122992,1,0,0,0,1
16,0,0,0.019854235,0.166666667,0.056848214,0,0,1,0,0
18,0,1,0.384267404,0,0.03513366,1,0,0,0,0
20,0,0,0.434531289,0,0.05074862,1,0,0,0,1
21,1,0,0.421965318,0,0.02537431,1,0,0,0,1
22,1,1,0.183211862,0,0.015671955,0,0,1,0,0
23,1,0,0.34656949,0,0.069291385,1,0,0,1,0
24,0,1,0.095250063,0.166666667,0.04113566,1,0,0,0,0
25,1,1,0.472229203,0.833333333,0.06126432,1,0,0,0,0
27,0,0,0.233475748,0.333333333,0.513341812,1,0,0,1,0
30,0,0,0.497361146,0,0.054107398,0,1,0,1,0
33,0,0,0.824076401,0,0.020494635,1,0,0,0,1
34,0,0,0.34656949,0,0.16038672,0,1,0,1,0
35,0,0,0.522493089,0,0.10149724,1,0,0,1,0
37,0,0,0.25860769,0,0.015712554,1,0,0,0,0
38,0,1,0.220909776,0,0.03513366,1,0,0,0,0
39,1,1,0.170645891,0,0.021942337,0,1,0,0,0
40,0,1,0.497361146,0,0.018493968,1,0,0,0,0
41,0,1,0.334003519,0,0.04098927,1,0,0,0,1
43,1,1,0.032420206,0.333333333,0.081157193,0,1,0,0,1
44,1,1,0.233475748,0,0.015379174,0,0,1,0,0
49,0,1,0.220909776,0,0.034743286,1,0,0,0,0
50,0,0,0.082684091,0.166666667,0.077464841,1,0,0,0,0
51,0,0,0.25860769,0,0.015224586,1,0,0,0,0
52,1,1,0.610454888,0,0.149765424,0,1,0,1,0
53,1,1,0.359135461,0,0.05074862,1,0,0,0,1
54,0,0,0.81151043,0.166666667,0.120975342,0,1,0,1,0
56,1,1,0.25860769,0,0.020494635,1,0,0,0,1
57,0,0,0.352852476,0,0.014110459,0,1,0,0,0
58,1,1,0.057552149,0.333333333,0.054164393,1,0,0,0,1
59,0,0,0.132947977,0.333333333,0.091542703,1,0,0,0,0
60,0,0,0.271173662,0,0.014110459,0,1,0,0,0
62,0,0,0.560191003,0,0.162932349,1,0,0,1,0
63,0,0,0.044986177,0.333333333,0.054457173,1,0,0,0,0
66,1,1,0.359135461,0,0.020494635,1,0,0,0,1
67,0,0,0.233475748,0,0.015923941,1,0,0,0,0
68,1,1,0.208343805,0.333333333,0.01546857,1,0,0,0,0
69,0,0,0.321437547,0,0.016908074,1,0,0,0,0
70,0,0,0.396833375,0,0.020494635,1,0,0,0,1
71,0,1,0.195777834,0.333333333,0.091542703,1,0,0,0,0
72,0,0,0.25860769,0,0.143462446,1,0,0,0,1
73,0,0,0.321437547,0,0.028212719,0,1,0,0,0
74,1,0,0.396833375,0,0.110272458,1,0,0,0,0
75,0,0,0.308871576,0,0.014931806,1,0,0,0,0
78,1,0,0.005152048,0.333333333,0.05660423,1,0,0,0,1
79,1,1,0.371701433,0,0.024349578,1,0,0,0,0
80,0,0,0.271173662,0,0.01756683,1,0,0,0,0
81,1,0,0.359135461,0,0.018542765,1,0,0,0,0
83,0,0,0.34656949,0,0.091933077,1,0,0,1,0
84,1,1,0.208343805,0,0.020494635,1,0,0,0,1
85,1,1,0.409399347,0,0.03093714,1,0,0,0,0
86,0,0,0.195777834,0.5,0.067095532,1,0,0,0,0
88,1,1,0.283739633,0.333333333,0.513341812,1,0,0,1,0
89,0,0,0.296305604,0,0.015712554,1,0,0,0,0
90,0,0,0.359135461,0,0.015712554,1,0,0,0,0
91,0,0,0.246041719,0,0.015330377,1,0,0,0,0
92,0,0,0.572756974,0,0.119405648,1,0,0,1,0
93,0,0,0.321437547,0.333333333,0.040159725,1,0,0,0,0
94,0,0,0.736114602,0,0.014151058,1,0,0,0,0
96,0,0,0.886906258,0,0.067640494,0,1,0,1,0
97,1,0,0.283739633,0.166666667,0.123667166,0,1,0,1,0
98,1,1,0.421965318,0.166666667,0.04489301,1,0,0,0,1
99,0,0,0.421965318,0,0.05074862,1,0,0,0,1
100,0,1,0.34656949,0,0.015411575,1,0,0,0,0
102,0,0,0.25860769,0.166666667,0.150855153,1,0,0,1,0
103,0,0,0.409399347,0,0.016891873,1,0,0,0,0
104,0,0,0.459663232,0,0.01546857,1,0,0,0,0
105,0,0,0.34656949,0,0.015411575,1,0,0,0,0
106,1,1,0.25860769,0,0.014931806,1,0,0,0,0
108,0,0,0.472229203,0,0.015411575,1,0,0,0,0
110,0,0,0.585322946,0,0.10149724,1,0,0,1,0
111,0,1,0.176928877,0,0.028212719,0,1,0,0,0
112,0,0,0.271173662,0,0.015712554,1,0,0,0,0
113,0,1,0.246041719,0,0.019177123,1,0,0,0,0
114,0,1,0.208343805,0,0.028220722,0,1,0,0,0
115,0,0,0.25860769,0,0.01546857,1,0,0,0,0
116,0,0,0.880623272,0,0.015126993,0,0,1,0,0
117,0,0,0.359135461,0,0.04098927,1,0,0,0,1
118,0,0,0.296305604,0.166666667,0.483128426,0,1,0,1,0
119,0,1,0.019854235,0.333333333,0.061044735,1,0,0,0,0
120,0,0,0.25860769,0,0.143462446,1,0,0,0,1
122,0,0,0.403116361,0,0.058694293,0,1,0,0,1
123,1,1,0.403116361,0,0.02537431,1,0,0,0,1
124,0,0,0.673284745,0.166666667,0.150855153,1,0,0,1,0
125,1,0,0.145513948,0,0.021942337,0,1,0,0,0
127,1,0,0.296305604,0,0.01393967,1,0,0,0,0
129,0,0,0.560191003,0,0.013614293,1,0,0,0,0
130,0,0,0.409399347,0,0.015411575,0,1,0,0,0
131,0,0,0.246041719,0,0.013760684,1,0,0,0,0
132,0,1,0.585322946,0,0.028302115,1,0,0,0,0
133,1,1,0.359135461,0,0.05074862,1,0,0,0,1
134,0,0,0.308871576,0,0.02537431,1,0,0,0,1
135,0,0,0.283739633,0,0.029367446,0,1,0,0,1
136,1,1,0.233475748,0.333333333,0.051301585,1,0,0,1,0
137,0,0,0.459663232,0,0.103644298,1,0,0,1,0
138,0,0,0.195777834,0,0.0179898,1,0,0,0,0
139,0,0,0.296305604,0,0.154588105,0,1,0,1,0
141,1,1,0.271173662,0,0.015126993,1,0,0,0,0
142,1,1,0.296305604,0,0.03093714,1,0,0,0,0
143,0,0,0.233475748,0,0.013175123,0,0,1,0,0
144,0,0,0.220909776,0,0.022446505,1,0,0,0,1
145,0,0,0.233475748,0.166666667,0.071731223,1,0,0,0,1
146,1,0,0.334003519,0,0.015216388,1,0,0,0,0
147,0,1,0.107816034,0.333333333,0.067095532,1,0,0,0,0
148,0,0,0.453380246,0.333333333,0.05074862,1,0,0,0,1
149,0,0,0.522493089,0,0.02537431,1,0,0,0,1
150,0,0,0.635586831,0,0.024447172,1,0,0,0,1
151,1,1,0.271173662,0,0.129994543,1,0,0,1,0
152,0,0,0.692133702,0,0.015712554,1,0,0,0,0
153,0,0,0.503644132,0.333333333,0.028302115,1,0,0,0,0
155,0,0,0.635586831,0.166666667,0.11980422,0,1,0,1,0
156,1,1,0.195777834,0,0.015094396,0,0,1,0,0
157,0,0,0.371701433,0,0.015712554,1,0,0,0,0
160,0,0,0.547625031,0.166666667,0.031425107,1,0,0,0,0
161,1,1,0.497361146,0,0.030741953,1,0,0,0,1
162,0,0,0.321437547,0,0.015175789,1,0,0,0,0
163,0,0,0.208343805,0,0.016908074,1,0,0,0,0
164,0,0,0.007288263,0.166666667,0.077464841,1,0,0,0,0
165,1,0,0.107816034,0.333333333,0.040062132,1,0,0,0,0
167,0,1,0.560191003,0.666666667,0.054457173,1,0,0,0,0
169,0,0,0.34656949,0,0.110272458,1,0,0,0,0
170,0,0,0.761246544,0,0.065387645,1,0,0,1,0
171,0,0,0.044986177,0.166666667,0.056848214,0,0,1,0,0
172,1,1,0.007288263,0.166666667,0.021730754,1,0,0,0,0
173,0,0,0.25860769,0,0.01546857,1,0,0,0,0
174,0,0,0.698416688,0,0.059914211,0,1,0,1,0
175,0,0,0.220909776,0.166666667,0.015330377,1,0,0,0,0
177,0,1,0.62302086,0,0.056043068,0,1,0,1,0
178,0,0,0.371701433,0,0.02537431,1,0,0,0,1
179,0,0,0.447097261,0,0,1,0,0,0,0
182,0,0,0.107816034,0.333333333,0.06126432,1,0,0,0,0
183,1,0,0.007288263,0.166666667,0.07612293,1,0,0,0,1
184,1,1,0.044986177,0.333333333,0.042989937,1,0,0,0,0
187,1,0,0.560191003,0,0.051822149,1,0,0,1,0
188,0,0,0.497361146,0.166666667,0.030253985,0,0,1,0,0
189,0,0,0.447097261,0,0.015411575,1,0,0,0,0
190,1,1,0.396833375,0,0.02537431,1,0,0,0,1
191,0,0,0.233475748,0,0.02537431,1,0,0,0,1
192,1,1,0.233475748,0,0.015330377,1,0,0,0,0
193,1,0,0.032420206,0.166666667,0.05074862,1,0,0,0,1
194,1,1,0.547625031,0,0.054107398,0,1,0,1,0
195,1,1,0.72354863,0,0.285989555,0,1,0,1,0
197,0,0,0.522493089,0.166666667,0.016403906,1,0,0,0,0
199,0,1,0.296305604,0,0.02537431,1,0,0,0,1
200,0,0,0.34656949,0,0.018542765,1,0,0,0,0
202,0,0,0.421965318,0,0.012678957,1,0,0,0,0
203,0,0,0.566473988,0,0.014102261,0,1,0,0,0
204,1,0,0.220909776,0,0.015712554,1,0,0,0,0
205,0,1,0.019854235,0.166666667,0.02042144,1,0,0,0,0
206,0,0,0.396833375,0,0.03093714,1,0,0,0,0
207,1,0,0.321437547,0,0.036670758,0,1,0,0,0
208,1,1,0.195777834,0,0.015126993,0,0,1,0,0
209,1,0,0.497361146,0,0.06050797,0,1,0,1,0
210,0,0,0.296305604,0,0.013760684,1,0,0,0,0
211,1,1,0.434531289,0,0.04098927,1,0,0,0,1
212,0,0,0.271173662,0,0.014151058,1,0,0,0,0
213,0,0,0.371701433,0,0.02537431,1,0,0,0,1
215,1,1,0.384267404,0,0.221098075,0,1,0,1,0
216,1,1,0.334003519,0,0.01546857,1,0,0,0,0
217,0,0,0.522493089,0,0.05270049,1,0,0,0,1
218,1,1,0.396833375,0,0.148911481,0,1,0,1,0
219,0,0,0.371701433,0,0.020494635,1,0,0,0,1
220,1,0,0.195777834,0,0.015712554,1,0,0,0,0
221,0,0,0.334003519,0,0.02537431,1,0,0,0,1
222,0,0,0.635586831,0,0.015712554,1,0,0,0,0
224,1,0,0.472229203,0,0.175668301,1,0,0,1,0
225,0,0,0.271173662,0,0.018249985,1,0,0,0,0
226,1,0,0.233475748,0,0.020494635,1,0,0,0,1
227,0,0,0.252324705,0,0.014151058,1,0,0,0,0
228,0,0,0.220909776,0,0.02537431,1,0,0,0,1
230,1,1,0.434531289,0,0.162932349,1,0,0,1,0
231,0,0,0.359135461,0,0.015175789,1,0,0,0,0
232,0,0,0.736114602,0,0.026350245,1,0,0,0,1
233,1,1,0.057552149,0.333333333,0.06126432,1,0,0,0,0
234,0,0,0.296305604,0,0.020494635,1,0,0,0,1
236,0,0,0.547625031,0,0.05074862,1,0,0,0,1
237,1,1,0.095250063,0.333333333,0.051236588,1,0,0,0,1
238,0,0,0.233475748,0,0.020494635,1,0,0,0,1
239,0,0,0.409399347,0,0.023959204,1,0,0,0,1
242,0,0,0.359135461,0,0.020494635,1,0,0,0,1
243,0,0,0.271173662,0,0.013907074,1,0,0,0,0
244,0,0,0.371701433,0,0.014102261,0,1,0,0,0
245,0,0,0.547625031,0,0.175668301,0,0,1,1,0
246,0,1,0.308871576,0,0.015175789,1,0,0,0,0
247,1,1,0.296305604,0.333333333,0.028302115,1,0,0,0,1
248,1,0,0.459663232,0.166666667,0.102578967,1,0,0,1,0
249,0,0,0.673284745,0,0.05074862,1,0,0,0,1
251,0,1,0.359135461,0.166666667,0.02042144,1,0,0,0,0
252,0,0,0.773812516,0,0.051822149,1,0,0,1,0
253,0,0,0.371701433,0,0.031425107,1,0,0,0,0
254,0,1,0.509927117,0.333333333,0.039452173,1,0,0,0,0
255,1,1,0.359135461,0.333333333,0.02975782,0,1,0,0,0
257,1,1,0.371701433,0,0.168836756,1,0,0,1,0
258,1,1,0.434531289,0,1,0,1,0,1,0
259,1,1,0.62302086,0.166666667,0.05074862,1,0,0,0,1
261,1,0,0.032420206,0.333333333,0.06126432,1,0,0,0,0
262,0,0,0.648152802,0.166666667,0.155466446,1,0,0,1,0
263,0,0,0.497361146,0,0,1,0,0,1,0
265,0,0,0.447097261,0,0.020494635,1,0,0,0,1
266,0,0,0.195777834,0.166666667,0.077464841,1,0,0,0,0
267,1,0,0.308871576,0,0.015175789,1,0,0,0,0
268,1,1,0.72354863,0.166666667,0.299538851,1,0,0,1,0
269,1,1,0.434531289,0,0.26473857,1,0,0,1,0
271,1,0,0.308871576,0,0,1,0,0,0,0
272,1,1,0.509927117,0.166666667,0.038061465,1,0,0,0,1
273,0,0,0.459663232,0.166666667,0.057970539,0,1,0,1,0
275,1,1,0.786378487,0,0.152164468,1,0,0,1,0
276,0,1,0.560191003,0,0.015126993,1,0,0,0,0
278,0,0,0.082684091,0.166666667,0.056848214,0,0,1,0,0
279,1,1,0.434531289,0.166666667,0.039525368,1,0,0,0,0
280,0,0,0.81151043,0,0.015126993,0,0,1,0,0
281,0,0,0.34656949,0,0.015330377,1,0,0,0,0
282,0,0,0.195777834,0,0.018542765,1,0,0,0,0
283,1,0,0.233475748,0,0.015712554,1,0,0,0,0
285,0,0,0.409399347,0,0.016908074,0,1,0,0,0
286,1,0,0.371701433,0,0.018542765,1,0,0,0,0
287,0,0,0.271173662,0,0.015411575,1,0,0,0,0
288,1,0,0.522493089,0,0.02537431,1,0,0,0,1
289,1,1,0.271173662,0,0.015126993,0,0,1,0,0
290,1,1,0.321437547,0,0.15390495,1,0,0,1,0
291,1,1,0.233475748,0,0.177774759,0,1,0,1,0
292,0,0,0.447097261,0,0.025130326,0,1,0,0,1
293,0,1,0.296305604,0,0.01727405,1,0,0,0,0
294,0,0,0.296305604,0,0.015411575,1,0,0,0,0
296,0,0,0.290022619,0,0.014110459,0,1,0,0,0
297,0,1,0.019854235,0.333333333,0.2958059,1,0,0,1,0
299,1,1,0.62302086,0.166666667,0.483128426,0,1,0,1,0
302,0,0,0.233475748,0,0,1,0,0,0,0
305,1,0,0.006282986,0.333333333,0.2958059,1,0,0,1,0
307,1,1,0.208343805,0,0.212558644,0,1,0,1,0
308,0,0,0.371701433,0,0.04684488,0,1,0,0,1
309,1,1,0.371701433,0,0.111118398,0,1,0,1,0
310,1,1,0.296305604,0,0.162314192,0,1,0,1,0
311,1,1,0.220909776,0.333333333,0.512121894,0,1,0,1,0
312,0,1,0.321437547,0.166666667,0.05074862,1,0,0,0,1
313,0,0,0.34656949,0,0.015411575,1,0,0,0,0
314,0,0,0.53505906,0.166666667,0.051236588,1,0,0,0,1
315,1,1,0.321437547,0,0.015330377,1,0,0,0,0
316,1,1,0.296305604,0,0.05074862,1,0,0,0,1
317,0,0,0.673284745,0,0.02732618,1,0,0,0,1
318,1,1,0.384267404,0.333333333,0.321798367,1,0,0,1,0
319,1,1,0.497361146,0.166666667,0.262526516,0,1,0,1,0
320,0,0,0.271173662,0,0.014151058,1,0,0,0,0
321,0,0,0.334003519,0,0.015411575,1,0,0,0,0
322,1,1,0.371701433,0,0.024105595,0,0,1,0,1
323,1,1,0.271173662,0.166666667,0.05660423,1,0,0,0,1
325,1,1,0.447097261,0,0.26473857,0,1,0,1,0
326,0,0,0.761246544,0,0.012174789,1,0,0,0,0
327,1,1,0.447097261,0,0.02537431,1,0,0,0,1
328,1,1,0.384267404,0.166666667,0.040062132,1,0,0,0,0
329,1,1,0.195777834,0.166666667,0.113167862,0,1,0,1,0
331,0,0,0.566473988,0,0.055628295,1,0,0,1,0
332,0,0,0.472229203,0.166666667,0.299538851,1,0,0,1,0
333,0,0,0.195777834,0,0.03513366,1,0,0,0,0
336,0,0,0.359135461,0,0.129994543,1,0,0,1,0
337,1,1,0.509927117,0,0.262526516,0,1,0,1,0
338,1,0,0.560191003,0,0.015712554,1,0,0,0,0
339,0,0,0.560191003,0,0.069291385,1,0,0,1,0
340,1,0,0.019854235,0.166666667,0.05074862,1,0,0,0,1
341,1,1,0.296305604,0.333333333,0.513341812,1,0,0,1,0
342,0,0,0.34656949,0,0.02537431,1,0,0,0,1
343,0,0,0.308871576,0,0.02537431,1,0,0,0,1
344,0,0,0.447097261,0,0.02537431,1,0,0,0,1
345,1,1,0.296305604,0,0.02537431,1,0,0,0,1
346,1,1,0.497361146,0,0.02537431,1,0,0,0,1
348,1,0,0.032420206,0.166666667,0.031034733,1,0,0,0,0
349,0,0,0.522493089,0,0.016908074,1,0,0,0,0
350,0,0,0.283739633,0,0.018006001,1,0,0,0,0
352,0,0,0.183211862,0.166666667,0.014110459,0,1,0,0,0
353,0,0,0.308871576,0,0.034743286,1,0,0,0,0
355,0,0,0.34656949,0,0.018542765,1,0,0,0,0
356,1,1,0.271173662,0.166666667,0.107352851,1,0,0,1,0
357,0,1,0.472229203,0,0.02537431,1,0,0,0,1
360,0,0,0.497361146,0.666666667,0.054457173,1,0,0,0,0
361,0,0,0.359135461,0,0.054107398,0,1,0,0,1
362,0,1,0.560191003,0.166666667,0.028212719,0,1,0,0,0
363,0,0,0.434531289,0,0.013760684,1,0,0,0,0
365,0,0,0.371701433,0,0.014151058,1,0,0,0,0
366,1,1,0.748680573,0,0.146878218,0,1,0,1,0
369,1,1,0.296305604,0,0.135264592,0,1,0,1,0
370,1,0,0.308871576,0,0.108214992,0,1,0,1,0
371,0,0,0.220909776,0,0.012678957,1,0,0,0,0
372,0,0,0.233475748,0,0.015712554,1,0,0,0,0
373,0,0,0.271173662,0,0.26473857,0,1,0,1,0
374,0,1,0.032420206,0.166666667,0.04113566,1,0,0,0,0
376,1,1,0.271173662,0,0.014151058,1,0,0,0,0
377,0,0,0.334003519,0.333333333,0.412820507,0,1,0,1,0
378,0,0,0.246041719,0,0.007831878,0,1,0,0,0
379,0,0,0.233475748,0,0.015175789,1,0,0,0,0
380,1,1,0.522493089,0,0.444099224,0,1,0,1,0
381,1,1,0.007288263,0.333333333,0.030725752,0,1,0,0,0
382,0,0,0.396833375,0,0.01546857,1,0,0,0,0
383,1,1,0.434531289,0,0.10149724,1,0,0,1,0
385,0,0,0.220909776,0,0.143462446,1,0,0,0,1
386,0,0,0.007288263,0.333333333,0.091542703,1,0,0,0,0
387,1,1,0.447097261,0,0.02537431,1,0,0,0,1
389,1,1,0.208343805,0,0.02342244,0,1,0,0,1
390,1,0,0.447097261,0.333333333,0.234224401,1,0,0,1,0
391,1,0,0.25860769,0,0.015216388,1,0,0,0,0
392,0,0,0.34656949,0,0.01546857,1,0,0,0,0
393,1,1,0.283739633,0,0.221098075,0,1,0,1,0
394,1,1,0.296305604,0.333333333,0.032596229,1,0,0,0,0
395,0,0,0.271173662,0,0.015216388,1,0,0,0,0
396,0,1,0.384267404,0,0.015330377,1,0,0,0,0
397,0,0,0.572756974,0,0.05074862,1,0,0,0,1
398,0,0,0.283739633,0,0.020494635,1,0,0,0,1
399,1,1,0.34656949,0,0.024691156,1,0,0,0,1
400,1,0,0.484795175,0,0.01546857,1,0,0,0,0
401,0,0,0.321437547,0,0.015712554,1,0,0,0,0
402,0,1,0.25860769,0,0.019177123,1,0,0,0,0
403,0,0,0.34656949,0,0.03093714,1,0,0,0,0
404,0,1,0.246041719,0,0.016908074,1,0,0,0,0
405,0,0,0.421965318,0,0.04098927,1,0,0,0,1
406,0,0,0.635586831,0,0.015126993,1,0,0,0,0
407,1,0,0.032420206,0.166666667,0.036597563,1,0,0,0,1
408,0,0,0.25860769,0,0.015175789,1,0,0,0,0
412,1,1,0.409399347,0,0.175668301,0,0,1,1,0
414,1,0,0.547625031,0,0.01546857,1,0,0,0,0
416,1,1,0.421965318,0.166666667,0.063435775,1,0,0,0,1
417,1,1,0.220909776,0.333333333,0.02537431,1,0,0,0,1
418,0,0,0.371701433,0,0.02537431,1,0,0,0,1
419,0,1,0.120382006,0.333333333,0.047137661,1,0,0,0,0
421,0,0,0.25860769,0,0.015094396,0,0,1,0,0
422,0,0,0.359135461,0,0.015370976,1,0,0,0,0
423,0,1,0.34656949,0.166666667,0.028106928,1,0,0,0,0
424,0,0,0.220909776,0.166666667,0.039452173,1,0,0,0,0
426,1,1,0.34656949,0,0.05074862,1,0,0,0,1
427,1,1,0.233475748,0,0.05074862,1,0,0,0,1
429,1,0,0.396833375,0,0.015712554,1,0,0,0,0
430,1,0,0.34656949,0,0.051822149,1,0,0,1,0
432,1,1,0.522493089,0,0.05074862,1,0,0,0,1
433,0,0,0.208343805,0,0.013907074,1,0,0,0,0
434,0,0,0.62302086,0,0.109109534,1,0,0,1,0
435,1,1,0.170645891,0.333333333,0.234224401,1,0,0,1,0
436,0,1,0.25860769,0.333333333,0.067095532,1,0,0,0,0
437,1,1,0.296305604,0.5,0.036597563,1,0,0,0,1
438,0,0,0.798944458,0.666666667,0.513341812,1,0,0,1,0
439,0,0,0.384267404,0,0.020494635,1,0,0,0,1
440,1,1,0.560191003,0.166666667,0.051236588,1,0,0,0,1
441,0,0,0.246041719,0,0.018542765,1,0,0,0,0
442,0,0,0.308871576,0,0.015175789,1,0,0,0,0
